STATION,ELEMENT,YEAR,MONTH,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,
0-20000-0-11723,F,1959,02,21:00,G(20),0.0,,,
0-20000-0-11723,F,1959,02,21:00,G(30),0.0,,,
0-20000-0-11723,F,1959,02,21:00,MAX,9.0,*,,
0-20000-0-11723,F,1959,03,AVG,AVG,4.1,,,
0-20000-0-11723,F,1959,03,AVG,G(10),0.0,,,
0-20000-0-11723,F,1959,03,AVG,G(15),0.0,,,
0-20000-0-11723,F,1959,03,AVG,G(20),0.0,,,
0-20000-0-11723,F,1959,03,AVG,G(30),0.0,,,
0-20000-0-11723,F,1959,03,AVG,MAX,8.7,,,
0-20000-0-11723,F,1959,03,07:00,AVG,3.2,,,
0-20000-0-11723,F,1959,03,07:00,G(10),0.0,,,
0-20000-0-11723,F,1959,03,07:00,G(15),0.0,,,
0-20000-0-11723,F,1959,03,07:00,G(20),0.0,,,
0-20000-0-11723,F,1959,03,07:00,G(30),0.0,,,
0-20000-0-11723,F,1959,03,07:00,MAX,9.0,,,
0-20000-0-11723,F,1959,03,14:00,AVG,5.5,,,
0-20000-0-11723,F,1959,03,14:00,G(10),1.0,,,
0-20000-0-11723,F,1959,03,14:00,G(15),0.0,,,
0-20000-0-11723,F,1959,03,14:00,G(20),0.0,,,
0-20000-0-11723,F,1959,03,14:00,G(30),0.0,,,
0-20000-0-11723,F,1959,03,14:00,MAX,12.0,,,
0-20000-0-11723,F,1959,03,21:00,AVG,3.6,,,
0-20000-0-11723,F,1959,03,21:00,G(10),0.0,,,
0-20000-0-11723,F,1959,03,21:00,G(15),0.0,,,
0-20000-0-11723,F,1959,03,21:00,G(20),0.0,,,
0-20000-0-11723,F,1959,03,21:00,G(30),0.0,,,
0-20000-0-11723,F,1959,03,21:00,MAX,9.0,,,
0-20000-0-11723,F,1959,04,AVG,AVG,4.7,,,
0-20000-0-11723,F,1959,04,AVG,G(10),2.0,,,
0-20000-0-11723,F,1959,04,AVG,G(15),0.0,,,
0-20000-0-11723,F,1959,04,AVG,G(20),0.0,,,
0-20000-0-11723,F,1959,04,AVG,G(30),0.0,,,
0-20000-0-11723,F,1959,04,AVG,MAX,10.3,*,,
0-20000-0-11723,F,1959,04,07:00,AVG,3.6,,,
0-20000-0-11723,F,1959,04,07:00,G(10),1.0,,,
0-20000-0-11723,F,1959,04,07:00,G(15),0.0,,,
0-20000-0-11723,F,1959,04,07:00,G(20),0.0,,,
0-20000-0-11723,F,1959,04,07:00,G(30),0.0,,,
0-20000-0-11723,F,1959,04,07:00,MAX,12.0,,,
0-20000-0-11723,F,1959,04,14:00,AVG,6.5,,,
0-20000-0-11723,F,1959,04,14:00,G(10),3.0,,,
0-20000-0-11723,F,1959,04,14:00,G(15),0.0,,,
0-20000-0-11723,F,1959,04,14:00,G(20),0.0,,,
0-20000-0-11723,F,1959,04,14:00,G(30),0.0,,,
0-20000-0-11723,F,1959,04,14:00,MAX,15.0,,,
0-20000-0-11723,F,1959,04,21:00,AVG,4.0,,,
0-20000-0-11723,F,1959,04,21:00,G(10),1.0,,,
0-20000-0-11723,F,1959,04,21:00,G(15),0.0,,,
0-20000-0-11723,F,1959,04,21:00,G(20),0.0,,,
0-20000-0-11723,F,1959,04,21:00,G(30),0.0,,,
0-20000-0-11723,F,1959,04,21:00,MAX,12.0,,,
0-20000-0-11723,F,1959,05,AVG,AVG,3.9,,,
0-20000-0-11723,F,1959,05,AVG,G(10),0.0,,,
0-20000-0-11723,F,1959,05,AVG,G(15),0.0,,,
0-20000-0-11723,F,1959,05,AVG,G(20),0.0,,,
0-20000-0-11723,F,1959,05,AVG,G(30),0.0,,,
0-20000-0-11723,F,1959,05,AVG,MAX,6.7,*,,
0-20000-0-11723,F,1959,05,07:00,AVG,2.7,,,
0-20000-0-11723,F,1959,05,07:00,G(10),0.0,,,
0-20000-0-11723,F,1959,05,07:00,G(15),0.0,,,
0-20000-0-11723,F,1959,05,07:00,G(20),0.0,,,
0-20000-0-11723,F,1959,05,07:00,G(30),0.0,,,
0-20000-0-11723,F,1959,05,07:00,MAX,7.0,*,,
0-20000-0-11723,F,1959,05,14:00,AVG,5.3,,,
0-20000-0-11723,F,1959,05,14:00,G(10),0.0,,,
0-20000-0-11723,F,1959,05,14:00,G(15),0.0,,,
0-20000-0-11723,F,1959,05,14:00,G(20),0.0,,,
0-20000-0-11723,F,1959,05,14:00,G(30),0.0,,,
0-20000-0-11723,F,1959,05,14:00,MAX,9.0,*,,
0-20000-0-11723,F,1959,05,21:00,AVG,3.7,,,
0-20000-0-11723,F,1959,05,21:00,G(10),0.0,,,
0-20000-0-11723,F,1959,05,21:00,G(15),0.0,,,
0-20000-0-11723,F,1959,05,21:00,G(20),0.0,,,
0-20000-0-11723,F,1959,05,21:00,G(30),0.0,,,
0-20000-0-11723,F,1959,05,21:00,MAX,9.0,,,
0-20000-0-11723,F,1959,06,AVG,AVG,3.3,,,
0-20000-0-11723,F,1959,06,AVG,G(10),0.0,,,
0-20000-0-11723,F,1959,06,AVG,G(15),0.0,,,
0-20000-0-11723,F,1959,06,AVG,G(20),0.0,,,
0-20000-0-11723,F,1959,06,AVG,G(30),0.0,,,
0-20000-0-11723,F,1959,06,AVG,MAX,7.3,,,
0-20000-0-11723,F,1959,06,07:00,AVG,2.8,,,
0-20000-0-11723,F,1959,06,07:00,G(10),0.0,,,
0-20000-0-11723,F,1959,06,07:00,G(15),0.0,,,
0-20000-0-11723,F,1959,06,07:00,G(20),0.0,,,
0-20000-0-11723,F,1959,06,07:00,G(30),0.0,,,
0-20000-0-11723,F,1959,06,07:00,MAX,9.0,,,
0-20000-0-11723,F,1959,06,14:00,AVG,4.7,,,
0-20000-0-11723,F,1959,06,14:00,G(10),1.0,,,
0-20000-0-11723,F,1959,06,14:00,G(15),0.0,,,
